Species Name,Observation ID,Map Overview URL,Map Detail URL,Map Closeup URL,Center Coordinates,Bathymetry Available,Research Stations Marked,Map Generation Date,Projection System
Aplysina fistularis,OBS-349,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.0500,17.9667,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.0500,17.9667,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.0500,17.9667,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.9667, -67.05",,,8/2/2025 3:34pm,Web Mercator
Clathria virgultosa,OBS-983,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.05,17.9667,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.05,17.9667,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.05,17.9667,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.9667, -67.05",,,8/3/2025 3:37pm,Web Mercator
Aplysina fistularis,OBS-634,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.970112, -67.04639",,,8/4/2025 5:02pm,Web Mercator
Aplysina fistularis,OBS-583,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.970112, -67.04639",,checked,8/4/2025 9:56pm,Web Mercator
Ircinia felix --brown massive morphotype-,OBS-184,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.970112, -67.04639",,checked,8/5/2025 10:23am,Web Mercator
Agelas clathrodes,OBS-314,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.970112, -67.04639, Magueyes Island Marine Sciences Research Station, University of Puerto Rico Mayaguez",checked,checked,8/8/2025 6:14pm,Web Mercator
Amphimedon compressa,OBS-903,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-67.04639,17.970112,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","17.970112, -67.04639, Magueyes Island Marine Sciences Research Station, University of Puerto Rico Mayaguez",checked,checked,8/8/2025 6:14pm,Web Mercator
Cyanocitta cristata,OBS-708,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","42.5378, -72.1715, Harvard Forest Long-Term Ecological Research Site, Petersham, Massachusetts",,checked,8/18/2025 5:00pm,Web Mercator
blue-jay,OBS-708,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","42.5378, -72.1715, Harvard Forest Long-Term Ecological Research Site, Petersham, Massachusetts",checked,checked,8/18/2025 8:36pm,Web Mercator
chipping-sparrow,OBS-233,"https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,10/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,13/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","https://api.mapbox.com/styles/v1/mapbox/satellite-streets-v12/static/-72.1715,42.5378,15/1280x720@2x?access_token=pk.eyJ1IjoiYW5keXBvcnRhbGF0aW4iLCJhIjoiY21kdGFjOXI4MHpxNTJzb2c3OHMxZmdxbiJ9.3bgNJgbKVuDJVs3OkNYK3g","42.5378, -72.1715, Harvard Forest Long-Term Ecological Research Site, Petersham, Massachusetts",checked,checked,8/20/2025 9:43pm,Web Mercator
